___ annotation is used to specify URI of the resource | @path
e. none of the above ===> Aswer:  d

What is the correct JavaScript syntax to write "Hello World"?
a. Hello World"
b. document.write("Hello World")
c. response.write("Hello World")
d. ("Hello World") ===> Aswer:  b

What is the correct syntax for referring to an external script called "xxx.js"?
a. <script name "xxx.js">
b. <scripthref "xxx.js">
c. <script src="xxx.js">
d. <link src "xxx.js"> ===> Aswer:  c

What is the significance of the following CSS rule?
LI, EM { color: red;cfont-weight: bold }
a. It will apply the specified style to text enclosed by either LI or EM tags.
b. It will apply the specified style to text enclosed by the EM tags which are within LI tags.
c. It will apply the specified style to text enclosed by the LI tags which are within EM tags.
d. It will apply the specified style to text not enclosed by either LI or EM tags. ===> Aswer:  a

What is the value of 83 after the following code is executed?
var s1 one,
s2 two,
s3 three;
s1.concat(s2)
s3 s1;
a. one
b. onetwo
c. three
d. onetwothree ===> Aswer:  b

What is the value of num after the following statement is performed?
num Math.round( 2.45 );
a. 0
b. 2
c. 2.5
d. 3 ===> Aswer:  b

What is wrong with the following line of code?
<P><FONT SIZE '5'>This is a test.</FONT></P>
a. Nothing
b. There is no attribute named SIZE for the element FONT
c. The value 5 must not be placed within quotes
d. The value 5 must be placed within double quotes ===> Aswer:  a

What is XML?
a. Extensible Markup Language
b. Extra Modern Link
c. Example markup Language
d. X-Markup Language ===> Aswer:  a

Where is the correct place to insert a JavaScript?
a. The <head> section
b. Both the <head> section and the section are correct
c. The <body> section
d. The <Title> Section ===> Aswer:  b

Which best describe void?
a. method
b. function
c. statement
d. operator ===> Aswer:  d

Which has no syntax error?
a. alcrt("hello "+3+" times);
b. alert("hello "+3 times);
c. alert("hello +3+ times");
d. alert("hello "+3 +" times); ===> Aswer:  c

Which is detected When the mouse moves over a link?
a. overMouse event
b. onMouseOver event
c. onRollOver event
d. OnMouseOut event ===> Aswer:  a

Which is not a correct name for an XML documents?
a. <Note>
b. <h1>
c. <1dollar>
d. All 3 names are incorrect. ===> Aswer:  c

Which is not a correct name for an XML element?
a. <age>
b <NAME>
c. <first name>
d All three names are incorrect. ===> Aswer:  c

Which method is used to search for a substring?
a. stringVariable.substring(subString)
b. stringVariable.find(subString)
c. stringVariable.index0f(subString)
d. stringVariable.indexOf(charAt(O)) ===> Aswer:  c

Which method will open a new window?
a. popUp(PageURL,WindowName,settings);
b. window.launch(PageURL,WindowName,settings);
c. window.close(PageURL,WindowName,settings);
d. window•open(PageURL,WindowName,settings); ===> Aswer:  d

Which object represents the top level of the XML source?
a. XML
b. DOMParent
c. DOMDocument
d. None of them ===> Aswer:  c

Which of the following is not a keyword used for default settings in an! ATTLlST element?
a. #IMPLIED
b. #DEFINE
c. #REQUIRED
d. #FIXED ===> Aswer:  b

Which of the following is NOT a type of popup box?
a. Alert
b. Confirm
c. Radio
d. Text ===> Aswer:  c

Which of the following is NOT done with JavaScript?
a. Form Validation
b. RGB Colors
c. Browser Detection
d. RGB Value ===> Aswer:  b

Which of the following is not required for counter-controlled repetition?
a. final value
b. initial value
c. sentinel
d. increment ===> Aswer:  c

Which of the following is/are optional in the creation of an XML file?
a. The <?xml version " 1.0"?> statement
b. The root element
c. The opening tag in an element
d. Entities ===> Aswer:  d

Which of the following selections is the proper way to apply this CSS rule:
.blue { color: blue }
a. <P COLOR "blue">
b. <P CLASS = "blue">
c. <P COLOR .blue>
d. <P CLASS .blue> ===> Aswer:  b

Which of the following statements is not true?
a. The <!DOCTYPE . > declaration follows the XML declaration
b. Entities that appear anywhere in an XML document are referred to as Parameter entities
c. Attributes are added to an element to provide information about the element
d. Entities must be declared within the document DOCTYPE declaration ===> Aswer:  b

Which of the following statements regarding filters and transitions is false?
a. They are built into Internet Explorer.
b. They are applied on a client computer at run time by the server.
c. They enable portions of pages and entire pages to be faded in an out.
d. They enable 3-d effects. ===> Aswer:  b

Which of the following XML attribute names is invalid?
a. _notvalid
b. I am not valid
c. not-valid.1
d. not1valid2 ===> Aswer:  b

Which of these are not kinds of complex elements?
a. empty elements
b elements that contain only other elements
c. elements that contain only text
d elements that contain only numbers ===> Aswer:  d

Which of these are not supported by XML Schema?
a. defines elements that can appear in a document
b. defines which files are child elements
c. defines attributes that can appear in a document
d. defines which elements are child elements ===> Aswer:  b

Which of these are not the valid XML DOM relationships?
a. parentNode
b. previousSiinng
c. IastChiId
d. nextNode ===> Aswer:  d

Which of these axes which are used in XSL?
a. child
b ancestor
c. descendant-or-self
d grand-parent ===> Aswer:  d

Which of these characters can be included within the text in an XML document in literal form?
a. >
b. ;
c. :
d. - ===> Aswer:  bcd

Which of these characters cannot be used as entity references in XML?
a. <
b. &
c. "
d. $ ===> Aswer:  d

Which of these is a valid comment in XML?
a. <!--This is a sample XML document>
b. <?This is a sample XML document?>
c. <!--This data should be hidden
<FIRSTNAME>Joe</FlRSTNAME>
<LASTNAME>J0hnson<lLASTNAME>
-->
d. <?--This is a sample XML document--> ===> Aswer:  c

Which of these is the correct syntax to link an XSL file to an XML document?
a. <?xmls type "text/xsl"href "candidate.xsl"?>
b. <?xml-stylesheet type="text/xsl" href="candidate.xsl"?>
c. <?xsl type "text/xsl" href "candidate.xsl"?>
d. <?xml:xsl href "candidate.xsl"?> ===> Aswer:  b

Which Statement about xml is true?
a. Elements may have multiple attribute with the same name
